Story ID,Prediction,Rationale
46,1,"Backstory is consistent. 1/1 facts verified, 0 minor inconsistencies."
137,1,No verifiable constraints found in backstory.
74,0,"Found 1 high-confidence contradiction(s) out of 1 facts. Details: Fact 1 [100% confidence]: [LLM] THE CLAIM INVOLVES STUDYING CRACK PATTERNS BY MOONLIGHT TO DIVINE OUTCOMES, WHICH IS UNRELATED AND INCONSISTENT WITH THE CONTEXT OF DANTÈS BREAKING A JUG AND ATTEMPTING AN ESCAPE IN COMPLETE DARKNESS. THERE IS NO MENTION OR IMPLICATION OF ANY SHARK-TOOTH NECKLACE OR DIVINATION PRACTICES IN THE PROVIDED NOVEL TEXT."
109,0,"Found 1 high-confidence contradiction(s) out of 2 facts. Details: Fact 1 [70% confidence]: [LLM] THE CLAIM SUGGESTS VILLEFORT’S POLITICAL SHIFT TOWARDS ROYALISM DISAPPOINTED SOMEONE (LIKELY HIS FATHER), LEADING TO ARGUMENTS AT FAMILY GATHERINGS. HOWEVER, THE PROVIDED CONTEXT DOES NOT MENTION ANY POLITICAL AFFILIATIONS OR DISAGREEMENTS RELATED TO POLITICS; INSTEAD, IT FOCUSES ON VILLEFORT'S ACTIONS AND CONCERNS REGARDING VALENTINE'S HEALTH AND PAST EVENTS INVOLVING NOIRTIER AND MORREL. | Fact 2 [90% confidence]: [LLM] THE NOVEL CONTEXT INDICATES THAT VILLEFORT MAINTAINS A HIGH RESPECT FOR HIS FATHER AND DOES NOT ARGUE WITH HIM OVER POLITICAL DIFFERENCES; INSTEAD, IT SUGGESTS VILLEFORT'S ACTIONS ARE INDEPENDENT OF HIS FATHER’S VIEWS. THIS CONTRADICTS THE CLAIM THAT VILLEFORT AND HIS FATHER ARGUED ABOUT POLITICS AT EVERY FAMILY GATHERING."
104,1,No verifiable constraints found in backstory.
35,0,"Found 2 high-confidence contradiction(s) out of 2 facts. Details: Fact 1 [90% confidence]: [LLM] THE CLAIM SUGGESTS CAPTAIN GRANT UNCOVERED A FORGED LOGBOOK AND THREATENED TO REPORT SOMEONE, LEADING TO A MUTINY. HOWEVER, THE PROVIDED NOVEL CONTEXT DOES NOT MENTION ANY FORGED LOGBOOK OR THREATS BY CAPTAIN GRANT; INSTEAD, IT FOCUSES ON HIS ISLAND REFUGE AND RESCUE EFFORTS, INDICATING NO SUCH INCIDENT OCCURRED ACCORDING TO THE GIVEN TEXT. | Fact 2 [90% confidence]: [LLM] THE CLAIM DESCRIBES ""MAROONING"" AS A BOTCHED SILENCING INVOLVING CAPTAIN GRANT AND AYRTON, WHICH IS NOT SUPPORTED BY OR RELATED TO THE PROVIDED NOVEL CONTEXT THAT DISCUSSES A SHIP RUNNING AGROUND DUE TO NAVIGATIONAL ERRORS AND SUBSEQUENT CHAOS AMONG THE CREW."
18,0,"Found 1 high-confidence contradiction(s) out of 1 facts. Details: Fact 1 [90% confidence]: [LLM] THE CLAIM INVOLVES FINDING BRIBERY ENTRIES IN LEDGERS AND REPORTING THEM, WHICH LEADS TO CONSEQUENCES. HOWEVER, THE NOVEL CONTEXT DOES NOT MENTION ANY SUCH INCIDENT; INSTEAD, IT FOCUSES ON INTERACTIONS WITH NEIGHBORS REGARDING MONEY MATTERS AND DISCUSSIONS ABOUT HIDDEN WEALTH. THERE IS NO INDICATION OF CORRUPTION OR WHISTLEBLOWING ACTIVITIES THAT WOULD SUPPORT THE BACKSTORY'S CLAIM."
31,0,"Found 1 high-confidence contradiction(s) out of 1 facts. Details: Fact 1 [90% confidence]: [LLM] THE BACKSTORY CLAIMS ""HE RESCUED THE INDIGENOUS ELDER YUROOK FROM COLONISTS,"" WHICH INVOLVES SPECIFIC ACTIONS RELATED TO RESCUING AN INDIVIDUAL AND GAINING TRIBAL PROTECTION. HOWEVER, THE NOVEL CONTEXT DOES NOT MENTION ANY RESCUE MISSION OR INTERACTION WITH AN INDIGENOUS ELDER NAMED YUROOK; INSTEAD, IT FOCUSES ON A HUNT AND SURVIVAL SCENARIOS IN A DIFFERENT GEOGRAPHICAL SETTING."
68,0,"Found 3 high-confidence contradiction(s) out of 4 facts. Details: Fact 1 [100% confidence]: [LLM] THE CLAIM INVOLVES A YOUNG CHARACTER CONVINCING ELDERS ABOUT HIS BIRTH-MARK AND REINCARNATION DURING MIGRATION, WHICH IS ENTIRELY UNRELATED TO THE PROVIDED NOVEL CONTEXT THAT DISCUSSES MARRIAGE ARRANGEMENTS AND AGE-RELATED CONCERNS. THERE IS NO MENTION OF MIGRATION OR BIRTH-MARKS IN THE GIVEN TEXT. | Fact 3 [95% confidence]: [LLM] THE BACKSTORY DESCRIBES AN EVENT INVOLVING A EUROPEAN BISON AND THE CRAFTING OF A BATTLE-AXE FROM ITS HORNS, WHICH IS SET IN A CONTEXT THAT IMPLIES HISTORICAL OR MYTHOLOGICAL TIMES. HOWEVER, THE NOVEL CONTEXT PROVIDED DOES NOT MENTION ANY SUCH INCIDENT AND INSTEAD FOCUSES ON CONTEMPORARY CATTLE RANCHING AND OTHER MODERN ACTIVITIES IN SOUTH AMERICA, MAKING IT HIGHLY UNLIKELY FOR BOTH TO BE TRUE SIMULTANEOUSLY. | Fact 4 [90% confidence]: [LLM] THE CLAIM DESCRIBES AN EVENT INVOLVING EUROPEAN BISON TRAMPLING PLANTATIONS, WHICH IS NOT MENTIONED OR IMPLIED ANYWHERE IN THE PROVIDED NOVEL CONTEXT. THE TEXT FOCUSES ON DESCRIPTIONS OF NATURAL LANDSCAPES AND AGRICULTURAL SETTINGS WITHOUT ANY REFERENCE TO BISON OR SIMILAR EVENTS."
9,0,"Found 2 high-confidence contradiction(s) out of 2 facts. Details: Fact 1 [90% confidence]: [LLM] THE BACKSTORY CLAIMS THAT ""HE"" SLIPPED A FAREWELL LETTER TO HIS FRENCH SWEETHEART INTO AN ACADEMIC REPORT, WHICH IMPLIES A SPECIFIC ACTION RELATED TO A PERSONAL DOCUMENT BEING ACCIDENTALLY INCLUDED IN PROFESSIONAL WORK. HOWEVER, THE NOVEL CONTEXT DOES NOT MENTION ANY SUCH INCIDENT INVOLVING A FAREWELL LETTER OR ANY ACCIDENTAL INCLUSION OF DOCUMENTS; INSTEAD, IT FOCUSES ON MORCERF'S EFFORTS TO GAIN ACCESS TO THE KING AND HIS INTERACTIONS WITH BEAUCHAMP. | Fact 2 [90% confidence]: [LLM] THE CLAIM INVOLVES AN ACADEMIC REPORT AND ITS PRAISE BY THE ACADEMY OF SCIENCES DUE TO A FAREWELL LETTER BEING ACCIDENTALLY INCLUDED. HOWEVER, THE NOVEL CONTEXT DOES NOT MENTION ANY SUCH INCIDENT OR DOCUMENT RELATED TO PERSONAL CORRESPONDENCE MIXED WITH ACADEMIC WORK. INSTEAD, IT FOCUSES ON DISCUSSIONS ABOUT BOOKS AND SCIENTIFIC ENDEAVORS WITHOUT ANY REFERENCE TO AN ACCIDENTAL INCLUSION OF A FAREWELL LETTER."
